id,common_name,class,role,trophic_simp,log_mass
137,European bison,4,3,1,5.698970004
138,Horse mussel,7,3,1,1.95616843
139,Purple Sea Star,6,1,3,1.488550717
140,Chilean abalone,7,1,2,1.626340367
141,Maroon Mangrove Crab,5,3,1,0.468521083
142,Australasian mangrove crab,5,3,1,0.000306
143,Freshwater Crayfish,5,1,1,1.079181246
144,Army Ant,5,3,1,1.758229457
145,Sooty Beech Scale,5,3,1,2.15490196
146,Beech Scale,5,3,1,2.301029996
147,Tropical Arrow squid,7,1,2,2.864511081
148,Daphnia spp.,5,1,1,3.53165267
149,Daphnia spp.,5,1,1,3.53165267
150,Spruce Bark Beetle,5,3,1,0.000304
151,Blue Mussel,7,3,1,0.8162413
152,Large Spiny Seastar,6,1,3,1.653212514
153,Uruguayan fiddler crab,5,3,1,1.672097858
154,Thin-fingered fiddler crab ,5,3,1,0.468521083
155,Opossum Shrimp,5,1,1,3.397940009
156,Funnel Ant,5,3,1,1.758229457
157,Common Goby,1,2,1,1.627365857
158,Lesser Glass Shrimp,5,1,1,0.477121255
159,Redlip Croaker,1,1,1,2.278524965
160,Japanese Snapping Shrimp,5,1,1,1.397940009
161,Japanese Mantis Shrimp,5,1,1,1.707570176
162,Black Sea Urchin,6,3,1,2.006037955
163,Common Cockle,7,2,1,0.904174368
164,Long-spined Sea Urchin,6,1,1,1.759667845
165,European oyster,7,3,1,1.164352856
166,Red Wood Ant,5,3,1,0.017449
167,Weevil,5,1,1,0.00039
168,Sun limpet,7,1,1,0.643452676
169,Chinese white prawn ,5,2,1,1.158362492
170,Northern Shrimp,5,1,1,0.686368103
171,Mongolian Redfin,1,1,1,3.602059991
172,Topmouth Cutler,1,1,3,2.77815125
173,Japanese icefish,1,2,1,0.176091259
174,Kollar termite,5,3,1,0.146128036
175,Rusty Crayfish,5,1,1,1.134177108
176,Atlantic Limpet,7,3,1,1.235528447
177,Everglages Crayfish,5,1,1,1.342422681
